source_doc_id,source_id,original_filename,relative_path,file_type,file_size_bytes,last_modified,checksum_sha256,status,file_role
codex_doc_000001,codex_src_000001,10 Metrics For Digitally Transforming Revenue Channels And Growth.pdf,10 Metrics For Digitally Transforming Revenue Channels And Growth.pdf,pdf,1291870,2023-12-27T18:07:45,fa7aadc886af31ca6d6bf40e60cb4b019cc91d77ff35bf317de7a4dfe98cd90c,inventory_complete,source_document
codex_doc_000002,codex_src_000002,12-3-24-Update-Formal-Group-Internet-Based-Applicant-Checklist.pdf,12-3-24-Update-Formal-Group-Internet-Based-Applicant-Checklist.pdf,pdf,436476,2026-01-16T10:41:23,8923fb7a32ae1d6d3107cd06499472602e6815bbdba9f96796fe6d3bb887ab73,inventory_complete,source_document
codex_doc_000003,codex_src_000003,2 Side Marketplaces - Business Models Journal.pdf,2 Side Marketplaces - Business Models Journal.pdf,pdf,1709444,2022-05-03T20:35:18,198982ea0e97b9bd2906cc77656708285f54a1552c7f5ba1947f9722eee77dec,inventory_complete,source_document
codex_doc_000004,codex_src_000004,2020-colombia-digital-strategy - Copy.pdf,2020-colombia-digital-strategy - Copy.pdf,pdf,414672,2026-01-04T14:23:16,17bccfd49e791e63bc14900351744e026e2b03b2ff8b1434db16514f423fd0d1,inventory_complete,source_document
codex_doc_000005,codex_src_000005,2020-colombia-digital-strategy.pdf,2020-colombia-digital-strategy.pdf,pdf,414672,2026-01-04T14:23:16,17bccfd49e791e63bc14900351744e026e2b03b2ff8b1434db16514f423fd0d1,inventory_complete,source_document
codex_doc_000006,codex_src_000006,2023_TR_Executive_Summary.pdf,2023_TR_Executive_Summary.pdf,pdf,27419409,2023-05-16T08:48:40,98a5e29b80e2ce7dc47198ea4a72e1820c67cbb19aac739b56b07322670b46f9,inventory_complete,source_document
codex_doc_000007,codex_src_000007,2025-Wharton-GBK-AI-Adoption-Report_Full-Report (1).pdf,2025-Wharton-GBK-AI-Adoption-Report_Full-Report (1).pdf,pdf,4397202,2026-06-18T09:25:05,edba7fbcc8469cd11ea495ae2a56924fe8893f59d741cd4beaa23dc2b8935ca7,inventory_complete,source_document
codex_doc_000008,codex_src_000008,2025-Wharton-GBK-AI-Adoption-Report_Full-Report.pdf,2025-Wharton-GBK-AI-Adoption-Report_Full-Report.pdf,pdf,4397202,2026-06-18T09:18:04,edba7fbcc8469cd11ea495ae2a56924fe8893f59d741cd4beaa23dc2b8935ca7,inventory_complete,source_document
codex_doc_000009,codex_src_000009,2026-Wharton-Accenture-Report-FNL.pdf,2026-Wharton-Accenture-Report-FNL.pdf,pdf,1938641,2026-06-18T09:19:19,53983618ed6ea67cb45d8820460172c9ebb6e4d59e0df4746558465851f42a5f,inventory_complete,source_document
codex_doc_000010,codex_src_000010,2026_Trend_Report.pdf,2026_Trend_Report.pdf,pdf,8296546,2025-12-28T11:18:49,9613d13f98a0e42e6dcee62b2985c6b4bc9a2d9fc13f9c1c852a0a6f0104e4c4,inventory_complete,source_document
codex_doc_000011,codex_src_000011,35611_AW_SowingSeeds_Adaptiveleadership_E_WEB.pdf,35611_AW_SowingSeeds_Adaptiveleadership_E_WEB.pdf,pdf,5169156,2026-06-22T12:00:31,735305e77a2d3b940c8926b91f8059ae2007c4e68f069c9ffebe13e9161e0c8e,inventory_complete,source_document
codex_doc_000012,codex_src_000012,"A dynamic capability driven framework linking Industry 4.0, circular.pdf","A dynamic capability driven framework linking Industry 4.0, circular.pdf",pdf,2847838,2026-06-15T09:14:54,44641edcf1ed05cf1715994ea485560bd52dbfd2e49f914101d548aa490eedd3,inventory_complete,source_document
codex_doc_000013,codex_src_000013,A framework for the dynamic adaptation of service.pdf,A framework for the dynamic adaptation of service.pdf,pdf,4989413,2026-06-15T08:57:58,76f783794f95e9aa763707b0daa76c98581265c85432594ce44c32522753c5a3,inventory_complete,source_document
codex_doc_000014,codex_src_000014,A game theory-based dynamic resource allocation strategy in data centers.pdf,A game theory-based dynamic resource allocation strategy in data centers.pdf,pdf,1536498,2026-06-15T09:23:59,cbe3ca369da33ce206337b120e1eca9170bf41c5d16ca436b9cf5b3cc198da83,inventory_complete,source_document
codex_doc_000015,codex_src_000015,A to Z Marketplace 100 Report.pdf,A to Z Marketplace 100 Report.pdf,pdf,2283025,2022-05-03T10:16:35,03d4dc73bb17322a4116a62498bc5a4d08b252bca2e4eb2e8a99f3ce1449fd7a,inventory_complete,source_document
codex_doc_000016,codex_src_000016,Academic - Adaptable Organizations and sub cultures 2002.pdf,Academic - Adaptable Organizations and sub cultures 2002.pdf,pdf,96395,2026-06-11T15:59:10,f40f0490efe66a49ad113121788a4aebd39524c90d7d52f667a6c163cb070b10,inventory_complete,source_document
codex_doc_000017,codex_src_000017,Academic - AI Readiness.pdf,Academic - AI Readiness.pdf,pdf,1281736,2026-06-18T09:15:21,14d071b1ff3c0c40be71e9c34c1623463a25a62f7ffe032cdedb65e132d93d16,inventory_complete,source_document
codex_doc_000018,codex_src_000018,Academic - The_AI_Adoption_Maturity_Model_v1_XUwQzX5.0.pdf,Academic - The_AI_Adoption_Maturity_Model_v1_XUwQzX5.0.pdf,pdf,6413244,2026-06-11T15:03:48,5bbb15aab8afefd5d0e4af41725eb7497b3dcad3d811838c23b17fcda7944b4b,inventory_complete,source_document
codex_doc_000019,codex_src_000019,Academic - Tokenization of gaming.pdf,Academic - Tokenization of gaming.pdf,pdf,6334505,2022-10-21T13:12:24,4030cb8803e00d33e79d3013863afc59561f9e05ef57691bdb5fdde5102d4af2,inventory_complete,source_document
codex_doc_000020,codex_src_000020,Accenture - Accenture-Impact-to-advantage.pdf,Accenture - Accenture-Impact-to-advantage.pdf,pdf,4385467,2026-06-11T15:09:04,5d7162dbf18f04dd01e426499d7a288929764f56ff2d7f3a0ea4ff1f4ce79429,inventory_complete,source_document
codex_doc_000021,codex_src_000021,Accenture - Consumer-Pulse-2026-In the age of AI agents.pdf,Accenture - Consumer-Pulse-2026-In the age of AI agents.pdf,pdf,3309297,2026-06-11T15:27:52,026e2ddc82743c106b32b04647957df43b148053818b17b7b51dad376d1fba6b,inventory_complete,source_document
codex_doc_000022,codex_src_000022,Accenture - Global Data-Centre-Trends-2026.pdf,Accenture - Global Data-Centre-Trends-2026.pdf,pdf,16686847,2026-06-11T15:09:47,831ffa75ea1868ce8243be3d05c7e83757b53beda5a7007036538e82ecf696f7,inventory_complete,source_document
codex_doc_000023,codex_src_000023,Accenture-Human-Paradox.pdf,Accenture-Human-Paradox.pdf,pdf,7950966,2023-09-15T12:05:08,996d8e7f2a7eb8e3c74779fec22084f22db2b460dd88492b5a122f52419343fa,inventory_complete,source_document
