source_doc_id,original_filename,relative_path,file_type,primary_domain,secondary_domains,inferred_source_type,inferred_publisher,inferred_industry,inferred_technology,inferred_capabilities,inferred_business_models,inferred_operating_models,inferred_customer_experience,inferred_frameworks,inferred_output_relevance,classification_confidence,classification_method,review_needed,notes
codex_doc_000001,10 Metrics For Digitally Transforming Revenue Channels And Growth.pdf,10 Metrics For Digitally Transforming Revenue Channels And Growth.pdf,pdf,other,,unknown,unknown,,analytics,,,,,,,low,filename_and_metadata_heuristics_v1,true,no_primary_domain_filename_match;no_source_type_filename_match
codex_doc_000002,12-3-24-Update-Formal-Group-Internet-Based-Applicant-Checklist.pdf,12-3-24-Update-Formal-Group-Internet-Based-Applicant-Checklist.pdf,pdf,other,,practitioner,unknown,,,,,,,,,medium,filename_and_metadata_heuristics_v1,true,no_primary_domain_filename_match
codex_doc_000003,2 Side Marketplaces - Business Models Journal.pdf,2 Side Marketplaces - Business Models Journal.pdf,pdf,platforms_marketplaces,business_models,academic,unknown,education_research,,,marketplace,,,business_model_canvas;marketplace_design,mba_digital_strategy,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000004,2020-colombia-digital-strategy - Copy.pdf,2020-colombia-digital-strategy - Copy.pdf,pdf,digital_transformation,,unknown,unknown,,,,,,,,mba_digital_strategy,low,filename_and_metadata_heuristics_v1,true,duplicate_or_copy_indicator;no_source_type_filename_match
codex_doc_000005,2020-colombia-digital-strategy.pdf,2020-colombia-digital-strategy.pdf,pdf,digital_transformation,,unknown,unknown,,,,,,,,mba_digital_strategy,low,filename_and_metadata_heuristics_v1,true,no_source_type_filename_match
codex_doc_000006,2023_TR_Executive_Summary.pdf,2023_TR_Executive_Summary.pdf,pdf,other,,unknown,unknown,,,,,,,,mba_digital_strategy,low,filename_and_metadata_heuristics_v1,true,no_primary_domain_filename_match;no_source_type_filename_match
codex_doc_000007,2025-Wharton-GBK-AI-Adoption-Report_Full-Report (1).pdf,2025-Wharton-GBK-AI-Adoption-Report_Full-Report (1).pdf,pdf,ai,,industry_report,Wharton,,artificial_intelligence,,,,,,,high,filename_and_metadata_heuristics_v1,true,duplicate_or_copy_indicator
codex_doc_000008,2025-Wharton-GBK-AI-Adoption-Report_Full-Report.pdf,2025-Wharton-GBK-AI-Adoption-Report_Full-Report.pdf,pdf,ai,,industry_report,Wharton,,artificial_intelligence,,,,,,,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000009,2026-Wharton-Accenture-Report-FNL.pdf,2026-Wharton-Accenture-Report-FNL.pdf,pdf,other,,consulting,Accenture,,,,,,,,,medium,filename_and_metadata_heuristics_v1,true,no_primary_domain_filename_match
codex_doc_000010,2026_Trend_Report.pdf,2026_Trend_Report.pdf,pdf,other,,industry_report,unknown,,,future_readiness,,,,,,medium,filename_and_metadata_heuristics_v1,true,no_primary_domain_filename_match
codex_doc_000011,35611_AW_SowingSeeds_Adaptiveleadership_E_WEB.pdf,35611_AW_SowingSeeds_Adaptiveleadership_E_WEB.pdf,pdf,adaptability,,unknown,unknown,,,adaptability,,,,,kinetic_organization,low,filename_and_metadata_heuristics_v1,true,no_source_type_filename_match
codex_doc_000012,"A dynamic capability driven framework linking Industry 4.0, circular.pdf","A dynamic capability driven framework linking Industry 4.0, circular.pdf",pdf,dynamic_capabilities,,unknown,unknown,manufacturing_industrial,,,,,,dynamic_capabilities,writing,medium,filename_and_metadata_heuristics_v1,true,no_source_type_filename_match
codex_doc_000013,A framework for the dynamic adaptation of service.pdf,A framework for the dynamic adaptation of service.pdf,pdf,adaptability,,unknown,unknown,,,adaptability,,,customer_service,,writing,medium,filename_and_metadata_heuristics_v1,true,no_source_type_filename_match
codex_doc_000014,A game theory-based dynamic resource allocation strategy in data centers.pdf,A game theory-based dynamic resource allocation strategy in data centers.pdf,pdf,technology_infrastructure,,unknown,unknown,,,resource_reallocation,,,,,,low,filename_and_metadata_heuristics_v1,true,no_source_type_filename_match
codex_doc_000015,A to Z Marketplace 100 Report.pdf,A to Z Marketplace 100 Report.pdf,pdf,platforms_marketplaces,,industry_report,unknown,,,,marketplace,,,marketplace_design,,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000016,Academic - Adaptable Organizations and sub cultures 2002.pdf,Academic - Adaptable Organizations and sub cultures 2002.pdf,pdf,adaptability,operating_models,academic,unknown,education_research,,adaptability;organizational_design,,,,,,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000017,Academic - AI Readiness.pdf,Academic - AI Readiness.pdf,pdf,ai,,academic,unknown,education_research,artificial_intelligence,ai_readiness,,,,,,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000018,Academic - The_AI_Adoption_Maturity_Model_v1_XUwQzX5.0.pdf,Academic - The_AI_Adoption_Maturity_Model_v1_XUwQzX5.0.pdf,pdf,ai,,academic,unknown,education_research,artificial_intelligence,,,,,ai_adoption_maturity;digital_maturity_model,,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000019,Academic - Tokenization of gaming.pdf,Academic - Tokenization of gaming.pdf,pdf,blockchain,,academic,unknown,sports_entertainment;education_research,,,tokenization,,,,,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000020,Accenture - Accenture-Impact-to-advantage.pdf,Accenture - Accenture-Impact-to-advantage.pdf,pdf,other,,consulting,Accenture,,,,,,,,,medium,filename_and_metadata_heuristics_v1,true,no_primary_domain_filename_match
codex_doc_000021,Accenture - Consumer-Pulse-2026-In the age of AI agents.pdf,Accenture - Consumer-Pulse-2026-In the age of AI agents.pdf,pdf,ai,customer_experience,consulting,Accenture,consumer_retail_ecommerce,artificial_intelligence;agentic_ai,,,,ai_agent,,,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000022,Accenture - Global Data-Centre-Trends-2026.pdf,Accenture - Global Data-Centre-Trends-2026.pdf,pdf,global_digital_policy,technology_infrastructure,consulting,Accenture,,,future_readiness,,,,,,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000023,Accenture-Human-Paradox.pdf,Accenture-Human-Paradox.pdf,pdf,other,,consulting,Accenture,,,,,,,,,medium,filename_and_metadata_heuristics_v1,true,no_primary_domain_filename_match
codex_doc_000024,Accenture-Technology-Vision-2023-Full-Report.pdf,Accenture-Technology-Vision-2023-Full-Report.pdf,pdf,other,,consulting,Accenture,technology_saas_platforms,,,,,,,,medium,filename_and_metadata_heuristics_v1,true,no_primary_domain_filename_match
codex_doc_000025,Adaptability - Academic - Incumbent response to volatility and disruption.pdf,Adaptability - Academic - Incumbent response to volatility and disruption.pdf,pdf,adaptability,,academic,unknown,education_research,,adaptability,,,,,,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000026,Adaptability - Academic - Marketing in an unpredictable environment.pdf,Adaptability - Academic - Marketing in an unpredictable environment.pdf,pdf,adaptability,,academic,unknown,advertising_media_marketing;education_research,,adaptability,,,,,,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000027,Adaptability - Academic - Zeroth Principle Design.pdf,Adaptability - Academic - Zeroth Principle Design.pdf,pdf,adaptability,,academic,unknown,education_research,,adaptability,,,,,,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000028,Adaptability - HBR - The Art of Designing Markets.pdf,Adaptability - HBR - The Art of Designing Markets.pdf,pdf,adaptability,,practitioner,HBR,,,adaptability,,,,marketplace_design,,high,filename_and_metadata_heuristics_v1,false,
codex_doc_000029,Adaptive-Leadership-WP-US-Single-pages.pdf,Adaptive-Leadership-WP-US-Single-pages.pdf,pdf,adaptability,,unknown,unknown,,,adaptability,,,,adaptive_leadership,kinetic_organization,medium,filename_and_metadata_heuristics_v1,true,no_source_type_filename_match
codex_doc_000030,Africa - AI continental strategy - Copy.pdf,Africa - AI continental strategy - Copy.pdf,pdf,ai,,unknown,unknown,,artificial_intelligence,,,,,,,low,filename_and_metadata_heuristics_v1,true,duplicate_or_copy_indicator;no_source_type_filename_match
codex_doc_000031,Africa - AI continental strategy.pdf,Africa - AI continental strategy.pdf,pdf,ai,,unknown,unknown,,artificial_intelligence,,,,,,,low,filename_and_metadata_heuristics_v1,true,no_source_type_filename_match
codex_doc_000032,Africa and Digitization - Copy.pdf,Africa and Digitization - Copy.pdf,pdf,digital_transformation,,unknown,unknown,,,,,,,,,low,filename_and_metadata_heuristics_v1,true,duplicate_or_copy_indicator;no_source_type_filename_match
codex_doc_000033,Africa and Digitization.pdf,Africa and Digitization.pdf,pdf,digital_transformation,,unknown,unknown,,,,,,,,,low,filename_and_metadata_heuristics_v1,true,no_source_type_filename_match
